Comment,Designator,Footprint,LCSC Part #
1.3M,R7,R0402,
1M,R6,R0402,
1N5819WS,D3,SOD323-R,
1k,R10,R0402,
1k65,R15,R0402,
1uF,C3,C0402,
1uF,C6,C0603,
1uF,C8,C0402,
3k3,R16,R0402,
5.1k,R18,R0402,
5k1,R3 R5,R0402,
10k,R1 R2 R4 R8 R9 R11 R12 R13 R14,R0402,
10uH,L1,L1210,C86069
15.4k,R17,R0402,
22uF,C2 C4 C9,C0402,
100nF,C1,C0402,
100nF,C5,C0402K,
100nF,C7,C0402,
AP3012,IC1,SOT95P280X135-5N,C460356
BAT60B,D1 D2,SOD323-R,
ESP-12,U1,ESP12-SMD,C82898
HT78XX-SOT23-5SOT23-5,LDO,SOT23-5,
JST-PH-2/90SMD,BATTERY SOLAR,S2B-PH-SM4,C47647
MMDT3904,Q1,SC70-6,C268586
RED,CHARGING,CHIP-LED0603,
TA-3531-A2,SW1,TA-3530A-A2,C514025
TP4054,CHARGER,SOT-23-5,
TS-1088R-02026,FLASH RESET,TS1088R02026,
USB-C_2-16PIN,J3,USBC_USB-C-16P-5,C2837092
JST-XH-3P,DS18B20,JST-XH-3P,
JST-XH-7P,J5,JST-XH-7P,
uSup,J1 J2,1X04_1MM_RA_VERT,C371588
